outlet,entity_type,-1,0,1,2,3,4
cnn,shooter,0.08771929824561403,0.9122807017543859,0.0,0.0,0.0,0.0
cnn,victim,0.10121457489878542,0.8906882591093117,0.008097165991902834,0.0,0.0,0.0
fox,shooter,0.056818181818181816,0.9261363636363636,0.0,0.017045454545454544,0.0,0.0
fox,victim,0.11627906976744186,0.8697674418604651,0.004651162790697674,0.004651162790697674,0.004651162790697674,0.0
nyt,shooter,0.15789473684210525,0.8045112781954887,0.0,0.0,0.022556390977443608,0.015037593984962405
nyt,victim,0.14396887159533073,0.8249027237354085,0.0038910505836575876,0.0,0.019455252918287938,0.007782101167315175
wsj,shooter,0.1761904761904762,0.8095238095238095,0.0,0.0,0.014285714285714285,0.0
wsj,victim,0.15763546798029557,0.8325123152709359,0.0,0.0,0.009852216748768473,0.0
